8575,4 4 5 5 5,0,3472
3087,3 3 5 5 5,0,3496
1372,2 2 5 5 5,0,3520
210125,4 4 4 A A,0,3544
171125,4 4 4 K K,0,3568
120125,4 4 4 Q Q,0,3592
105125,4 4 4 J J,0,3616
66125,4 4 4 T T,0,3640
45125,4 4 4 9 9,0,3664
36125,4 4 4 8 8,0,3688
21125,4 4 4 7 7,0,3712
15125,4 4 4 6 6,0,3736
6125,4 4 4 5 5,0,3760
1125,3 3 4 4 4,0,3784
500,2 2 4 4 4,0,3808
45387,3 3 3 A A,0,3832
36963,3 3 3 K K,0,3856
25947,3 3 3 Q Q,0,3880
22707,3 3 3 J J,0,3904
14283,3 3 3 T T,0,3928
9747,3 3 3 9 9,0,3952
7803,3 3 3 8 8,0,3976
4563,3 3 3 7 7,0,4000
3267,3 3 3 6 6,0,4024
1323,3 3 3 5 5,0,4048
675,3 3 3 4 4,0,4072
108,2 2 3 3 3,0,4096
13448,2 2 2 A A,0,4120
10952,2 2 2 K K,0,4144
7688,2 2 2 Q Q,0,4168
6728,2 2 2 J J,0,4192
4232,2 2 2 T T,0,4216
2888,2 2 2 9 9,0,4240
2312,2 2 2 8 8,0,4264
1352,2 2 2 7 7,0,4288
968,2 2 2 6 6,0,4312
392,2 2 2 5 5,0,4336
200,2 2 2 4 4,0,4360
72,2 2 2 3 3,0,4384
25911877,9 A J K Q,1,4408
23184311,8 A J K Q,1,4412
17729179,7 A J K Q,1,4416
15001613,6 A J K Q,1,4420
9546481,5 A J K Q,1,4424
6818915,4 A J K Q,1,4428
4091349,3 A J K Q,1,4432
2727566,2 A J K Q,1,4436
20550799,9 A K Q T,1,4440
18387557,8 A K Q T,1,4444
14061073,7 A K Q T,1,4448
11897831,6 A K Q T,1,4452
7571347,5 A K Q T,1,4456
5408105,4 A K Q T,1,4460
3244863,3 A K Q T,1,4464
2163242,2 A K Q T,1,4468
15189721,8 9 A K Q,1,4472
11615669,7 9 A K Q,1,4476
9828643,6 9 A K Q,1,4480
6254591,5 9 A K Q,1,4484
4467565,4 9 A K Q,1,4488
2680539,3 9 A K Q,1,4492
1787026,2 9 A K Q,1,4496
10392967,7 8 A K Q,1,4500
8794049,6 8 A K Q,1,4504
5596213,5 8 A K Q,1,4508
3997295,4 8 A K Q,1,4512
2398377,3 8 A K Q,1,4516
1598918,2 8 A K Q,1,4520
6724861,6 7 A K Q,1,4524
4279457,5 7 A K Q,1,4528
3056755,4 7 A K Q,1,4532
1834053,3 7 A K Q,1,4536
1222702,2 7 A K Q,1,4540
3621079,5 6 A K Q,1,4544
2586485,4 6 A K Q,1,4548
1551891,3 6 A K Q,1,4552
1034594,2 6 A K Q,1,4556
1645945,4 5 A K Q,1,4560
987567,3 5 A K Q,1,4564
658378,2 5 A K Q,1,4568
705405,3 4 A K Q,1,4572
470270,2 4 A K Q,1,4576
282162,2 3 A K Q,1,4580
19224941,9 A J K T,1,4584
17201263,8 A J K T,1,4588
13153907,7 A J K T,1,4592
11130229,6 A J K T,1,4596
7082873,5 A J K T,1,4600
5059195,4 A J K T,1,4604
3035517,3 A J K T,1,4608
2023678,2 A J K T,1,4612
14209739,8 9 A J K,1,4616
10866271,7 9 A J K,1,4620
9194537,6 9 A J K,1,4624
5851069,5 9 A J K,1,4628
4179335,4 9 A J K,1,4632
2507601,3 9 A J K,1,4636
1671734,2 9 A J K,1,4640
9722453,7 8 A J K,1,4644
8226691,6 8 A J K,1,4648
5235167,5 8 A J K,1,4652
3739405,4 8 A J K,1,4656
2243643,3 8 A J K,1,4660
1495762,2 8 A J K,1,4664
6290999,6 7 A J K,1,4668
4003363,5 7 A J K,1,4672
2859545,4 7 A J K,1,4676
1715727,3 7 A J K,1,4680
1143818,2 7 A J K,1,4684
3387461,5 6 A J K,1,4688
2419615,4 6 A J K,1,4692
1451769,3 6 A J K,1,4696
967846,2 6 A J K,1,4700
1539755,4 5 A J K,1,4704
923853,3 5 A J K,1,4708
615902,2 5 A J K,1,4712
659895,3 4 A J K,1,4716
439930,2 4 A J K,1,4720
263958,2 3 A J K,1,4724
11269793,8 9 A K T,1,4728
8618077,7 9 A K T,1,4732
7292219,6 9 A K T,1,4736
4640503,5 9 A K T,1,4740
3314645,4 9 A K T,1,4744
1988787,3 9 A K T,1,4748
1325858,2 9 A K T,1,4752
7710911,7 8 A K T,1,4756
6524617,6 8 A K T,1,4760
4152029,5 8 A K T,1,4764
2965735,4 8 A K T,1,4768
1779441,3 8 A K T,1,4772
1186294,2 8 A K T,1,4776
4989413,6 7 A K T,1,4780
3175081,5 7 A K T,1,4784
2267915,4 7 A K T,1,4788
1360749,3 7 A K T,1,4792
907166,2 7 A K T,1,4796
2686607,5 6 A K T,1,4800
1919005,4 6 A K T,1,4804
1151403,3 6 A K T,1,4808
767602,2 6 A K T,1,4812
1221185,4 5 A K T,1,4816
732711,3 5 A K T,1,4820
488474,2 5 A K T,1,4824
523365,3 4 A K T,1,4828
348910,2 4 A K T,1,4832
209346,2 3 A K T,1,4836
6369883,7 8 9 A K,1,4840
5389901,6 8 9 A K,1,4844
3429937,5 8 9 A K,1,4848
2449955,4 8 9 A K,1,4852
1469973,3 8 9 A K,1,4856
979982,2 8 9 A K,1,4860
4121689,6 7 9 A K,1,4864
2622893,5 7 9 A K,1,4868
1873495,4 7 9 A K,1,4872
1124097,3 7 9 A K,1,4876
749398,2 7 9 A K,1,4880
2219371,5 6 9 A K,1,4884
1585265,4 6 9 A K,1,4888
951159,3 6 9 A K,1,4892
634106,2 6 9 A K,1,4896
1008805,4 5 9 A K,1,4900
605283,3 5 9 A K,1,4904
403522,2 5 9 A K,1,4908
432345,3 4 9 A K,1,4912
288230,2 4 9 A K,1,4916
172938,2 3 9 A K,1,4920
3687827,6 7 8 A K,1,4924
2346799,5 7 8 A K,1,4928
1676285,4 7 8 A K,1,4932
1005771,3 7 8 A K,1,4936
670514,2 7 8 A K,1,4940
1985753,5 6 8 A K,1,4944
1418395,4 6 8 A K,1,4948
851037,3 6 8 A K,1,4952
567358,2 6 8 A K,1,4956
902615,4 5 8 A K,1,4960
541569,3 5 8 A K,1,4964
361046,2 5 8 A K,1,4968
386835,3 4 8 A K,1,4972
257890,2 4 8 A K,1,4976
154734,2 3 8 A K,1,4980
1518517,5 6 7 A K,1,4984
1084655,4 6 7 A K,1,4988
650793,3 6 7 A K,1,4992
433862,2 6 7 A K,1,4996
690235,4 5 7 A K,1,5000
414141,3 5 7 A K,1,5004
276094,2 5 7 A K,1,5008
295815,3 4 7 A K,1,5012
197210,2 4 7 A K,1,5016
118326,2 3 7 A K,1,5020
584045,4 5 6 A K,1,5024
350427,3 5 6 A K,1,5028
233618,2 5 6 A K,1,5032
250305,3 4 6 A K,1,5036
166870,2 4 6 A K,1,5040
100122,2 3 6 A K,1,5044
159285,3 4 5 A K,1,5048
106190,2 4 5 A K,1,5052
63714,2 3 5 A K,1,5056
45510,2 3 4 A K,1,5060
16107383,9 A J Q T,1,5064
14411869,8 A J Q T,1,5068
11020841,7 A J Q T,1,5072
9325327,6 A J Q T,1,5076
5934299,5 A J Q T,1,5080
4238785,4 A J Q T,1,5084
2543271,3 A J Q T,1,5088
1695514,2 A J Q T,1,5092
11905457,8 9 A J Q,1,5096
9104173,7 9 A J Q,1,5100
7703531,6 9 A J Q,1,5104
4902247,5 9 A J Q,1,5108
3501605,4 9 A J Q,1,5112
2100963,3 9 A J Q,1,5116
1400642,2 9 A J Q,1,5120
8145839,7 8 A J Q,1,5124
6892633,6 8 A J Q,1,5128
4386221,5 8 A J Q,1,5132
3133015,4 8 A J Q,1,5136
1879809,3 8 A J Q,1,5140
1253206,2 8 A J Q,1,5144
5270837,6 7 A J Q,1,5148
3354169,5 7 A J Q,1,5152
2395835,4 7 A J Q,1,5156
1437501,3 7 A J Q,1,5160
958334,2 7 A J Q,1,5164
2838143,5 6 A J Q,1,5168
2027245,4 6 A J Q,1,5172
1216347,3 6 A J Q,1,5176
